Title: A Machine Learning Method to Infer Fundamental Stellar Parameters 
       from Photometric Light Curves  
Authors: Miller A.A., Bloom J.S., Richards J.W., Lee Y.S., Starr D.L., 
         Butler N.R., Tokarz S., Smith N., Eisner J.A. 
Table: SSPP Stellar Parameters for Hectospec Targets
================================================================================
Byte-by-byte Description of file: apj504861t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  7 I7     ---      ID     Source identifier in the UWVSC 
   9- 12 F4.1   ---      P      Target priority for Hectospec observations
  14- 18 A5     ---      Flags  Analyis flags returned by the SSPP (1)
  20- 26 F7.1   K        Teff   Effective temperature (2)
  28- 34 F7.1   K       eTeff   Uncertainty in Teff  (2)
  36- 37 I2     ---    o_Teff   Number of methods used by SSPP to derive Teff
  39- 46 F8.2   [cm/s2]  log(g) Log surface gravity (2)
  48- 55 F8.2   [cm/s2] elog(g) Uncertainty in log(g) (2)
      57 I1     ---    o_log(g) Number of methods used by SSPP to derive log(g)
  59- 66 F8.2   [-]      [Fe/H] Metallicity (2)
  68- 75 F8.2   [-]     e[Fe/H] Uncertainty in [Fe/H] (2)
      77 I1     ---    o_[Fe/H] Number of methods used by SSPP to derive [Fe/H]
--------------------------------------------------------------------------------
Note (1): See Lee et al. 2008a.
Note (2): A -9999.00 indicates a NULL value.
--------------------------------------------------------------------------------
5384384  3.  nnnnn  4288.5    56.3  4     4.27     0.31 4    -0.85     0.08 1 
5410925  5.  nnnnn  4896.2   141.2  3     3.89     0.36 3    -0.24     0.16 2 
5479654  6.  nnnnn  5979.2    94.5  9     4.25     0.18 6    -0.36     0.03 6 
5491314  2.  nnngn  5135.4   132.2  5     2.46     0.24 5    -1.24     0.18 1 
5499687  6.  Nnnnn  4300.3    51.8  3     3.96     0.14 2    -0.70     0.10 1 
5500750  9.  Nnnnn  4839.7   138.6  3     4.47     0.07 2    -0.18     0.09 1 
5723495  2.  nnnnn  6033.9    77.1  9     4.29     0.17 6    -0.76     0.04 6 
5827181  2.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5991774 10.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5996123  8.  nnnnT  5710.2   179.2  3     4.04     0.01 2    -0.62     0.03 1 
6026542  4.  nnnnn  5369.9    20.8  5     4.11     0.29 4    -0.85     0.13 3 
4423354  2.5 nnngT  5315.1    21.9  5     3.87     0.47 4    -1.11     0.11 5 
4450187  9.  nnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4457490  3.  nnnnn  5769.6    99.5  8     4.33     0.16 6    -0.37     0.13 2 
4479249  1.  nnnnn  5669.1   148.5  8     4.03     0.23 6    -0.51     0.06 3 
4506838  5.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4539756  6.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4555242  8.  nnngn  5513.7   114.1  7     3.20     0.41 4    -1.11     0.01 2 
4562714  8.  nnnnT  5791.3    22.5  5     4.07     0.22 2    -0.70     0.04 1 
4593408  5.  nnnnn  5834.2    98.3  8     4.15     0.10 6    -0.53     0.11 7 
4622157  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4790621  1.  nnnnn  5434.8    91.1  7     4.23     0.10 6    -0.03     0.06 7 
4880797  2.  nnnnn  4997.1   108.9  5     4.43     0.11 5    -0.47     0.05 4 
5014177  5.  nnnnn  5765.2   103.4  8     4.02     0.11 6     0.02     0.04 5 
5015947  2.  nnnnn  6420.0    96.9 10     3.13     0.34 7    -1.10     0.05 5 
5034169  1.  nnnnc -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5039006 10.  nnnnn  5579.9    90.6  4     3.85     0.55 2    -0.69     0.10 1 
5051552  6.  nnnnn  5058.3    94.5  3     4.31     0.24 3    -0.05     0.02 2 
5067963  2.  nnnnn  5119.8    87.9  3     4.13     0.15 3    -0.47     0.03 1 
5129902  5.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5191359  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5462829  8.  nnnnn  5957.1   109.2  7     3.99     0.26 4    -0.55     0.07 5 
5513750  4.  nnnnn  5708.3    81.9  8     4.14     0.22 6    -0.70     0.09 6 
5621815  2.  nnnnn  5562.2    84.4  8     3.72     0.12 6    -0.16     0.04 4 
5751668  8.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
6037955  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
6065428  9.  nnBGn  5635.0   207.4  4     3.98     0.27 2    -1.03     0.04 1 
6086952  6.  Nnnnn  4677.4    69.4  3     4.08     0.02 2    -0.45     0.10 1 
4204493 10.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4205678  3.  nnBnn  5238.7   126.1  5     4.34     0.12 5    -0.50     0.08 5 
4253967  5.  nnnnn  5932.6    39.2  9     4.28     0.20 6    -0.80     0.06 6 
4433701  1.  nnBnc -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4448729  3.  nnnnn  4512.6    67.6  4     4.47     0.21 4    -0.99     0.06 2 
4577199  2.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4615774  8.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4700188  3.  nnnnn  5532.2   157.8  5     4.19     0.20 5    -0.65     0.06 4 
4873252  1.  nnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5078446 10.  nnnnn  6148.1    80.9  7     4.18     0.32 4    -1.52     0.08 3 
5079713  6.  Nnnnn  4193.5    92.5  3     3.97     0.51 3    -0.87     0.09 1 
5292935  3.  nnBnn  5194.1   101.4  7     3.20     0.24 6    -0.78     0.05 6 
5296611  5.  nnnnn  5594.0    80.6  8     4.31     0.22 6    -0.50     0.02 5 
5355373  3.  nnnnn  5036.6    81.8  4     4.45     0.12 4    -0.21     0.04 2 
5383329  9.  Nnngn  4088.5     1.4  2     4.62     0.10 1    -1.30     0.09 1 
