Title: A Machine Learning Method to Infer Fundamental Stellar Parameters 
       from Photometric Light Curves  
Authors: Miller A.A., Bloom J.S., Richards J.W., Lee Y.S., Starr D.L., 
         Butler N.R., Tokarz S., Smith N., Eisner J.A. 
Table: SSPP Stellar Parameters for Hectospec Targets
================================================================================
Byte-by-byte Description of file: apj504861t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  7 I7     ---      ID     Source identifier in the UWVSC 
   9- 12 F4.1   ---      P      Target priority for Hectospec observations
  14- 18 A5     ---      Flags  Analyis flags returned by the SSPP (1)
  20- 26 F7.1   K        Teff   Effective temperature (2)
  28- 34 F7.1   K       eTeff   Uncertainty in Teff  (2)
  36- 37 I2     ---    o_Teff   Number of methods used by SSPP to derive Teff
  39- 46 F8.2   [cm/s2]  log(g) Log surface gravity (2)
  48- 55 F8.2   [cm/s2] elog(g) Uncertainty in log(g) (2)
      57 I1     ---    o_log(g) Number of methods used by SSPP to derive log(g)
  59- 66 F8.2   [-]      [Fe/H] Metallicity (2)
  68- 75 F8.2   [-]     e[Fe/H] Uncertainty in [Fe/H] (2)
      77 I1     ---    o_[Fe/H] Number of methods used by SSPP to derive [Fe/H]
--------------------------------------------------------------------------------
Note (1): See Lee et al. 2008a.
Note (2): A -9999.00 indicates a NULL value.
--------------------------------------------------------------------------------
4434033  5.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4570895  5.  Nnnnn  4578.9   195.9  3     4.21     0.29 2    -1.14     0.11 1 
4722912  7.  Nnnnn  4512.0    20.9  3     3.93     0.27 2    -0.52     0.06 1 
4740289  2.  nnnnn  5891.8    89.5  9     4.06     0.18 6    -0.50     0.06 6 
4766788  7.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4786612  6.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5156408  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5160251  9.  nnnGn  5449.8    82.2  3     4.17     0.46 2    -1.00     0.11 1 
5218290  8.  nnnnn  5632.9   106.1  6     4.39     0.22 4    -0.63     0.02 2 
5223698  8.  nnnnn  5751.6   118.9  6     4.24     0.36 4    -0.86     0.10 5 
5269279  7.  nnnnn  6328.0    75.9  8     3.78     0.24 5    -1.24     0.10 4 
5309858  7.  nnnnn  6207.9    57.4  7     4.27     0.26 4    -1.21     0.25 1 
5518071  6.  nnBnn  5269.2    32.8  4     4.29     0.10 4    -0.84     0.12 3 
5566289  4.  nnnnn  5952.5    70.3  9     3.92     0.19 6    -0.60     0.10 5 
5715846  3.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5811877 10.  nCnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4306293  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4317549 10.  nnnnn  5886.4   237.6  4     4.30     0.36 2    -0.66     0.03 1 
4368443  7.  Nnnnn  4879.0    40.7  3     4.24     0.13 2    -0.38     0.09 1 
4450132  3.  nnnnn  5059.0    74.3  7     3.48     0.34 6    -0.96     0.04 6 
4454833  3.  nnnnn  4738.2    96.8  3     4.43     0.12 2    -0.76     0.05 1 
4705198  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4750328  5.  nnnnn  4891.3    99.0  4     4.43     0.14 4    -0.27     0.08 2 
4793212  6.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4880034  1.  nnBnn  5034.1   188.5  4     4.32     0.24 4    -0.76     0.09 1 
5121412  5.  nnnnn  5860.8    92.7  6     4.24     0.13 4    -0.42     0.03 4 
5142183  2.  nnnnn  5883.4    66.2  8     3.98     0.09 6     0.09     0.09 3 
5197468  6.  nnBnn  5414.4   106.4  7     4.39     0.18 6    -0.65     0.05 6 
5202894  9.  nnnnn  6367.5   142.7  4     4.05     0.60 2    -0.99     0.05 1 
5349833  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5392845  3.  nnnGn  4089.7    11.7  2     4.46     0.17 1    -1.03     0.08 1 
5493836  5.  nnnGn  6024.4    71.8 10     3.59     0.27 7    -1.03     0.04 5 
5657058  6.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5706915  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5927629  6.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
6027560  5.  nnBnn  5490.3    67.9  5     4.20     0.18 4    -0.30     0.03 3 
6069151  2.  nnnnn  5048.3   181.4  5     2.48     0.29 5    -0.69     0.11 4 
4215856  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4295303  6.  lnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4383743  2.  nnnnn  7086.2    27.4 10     3.90     0.27 7    -1.37     0.05 4 
4598156  2.  NnBnn  5189.6   124.7  3     3.69     0.39 2    -0.61     0.08 1 
4650082  6.  NnBnn  4605.1    56.8  3     3.95     0.26 2    -0.99     0.08 1 
4693197  3.  lnngn  4181.3   166.7  2     4.55     0.02 2    -1.49     0.10 1 
4710979  5.  Nnnnn  4299.3   160.4  2     3.99     0.10 1    -0.42     0.13 1 
4728827  5.  nnnnn  5378.9    96.9  5     4.23     0.21 4    -0.86     0.08 4 
4733648  1.  nnnnc -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4767966  2.  nnnnn  6365.4    46.2 10     4.09     0.12 7    -0.55     0.01 5 
5022615  2.  nnnnn  6006.9   168.0  5     2.35     0.58 3    -1.50     0.00 2 
5030166  2.  nnnnn  7875.7   132.9  5     3.91     0.22 4    -1.11     0.15 2 
5164725  5.  nnngn  4708.7    98.4  4     4.36     0.17 4    -1.31     0.07 3 
5170724  7.  nnnnn  5519.7    47.8  6     4.15     0.32 4    -0.44     0.07 4 
5209990  1.  nnnnn  4481.0    61.0  3     3.32     0.56 3    -0.97     0.11 1 
5399491  7.  nnBnn  5743.7   303.9  4     4.38     0.39 2    -0.24     0.04 1 
5450912  3.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5625365  5.  nnnnn  5702.8    56.3  8     4.19     0.18 6    -0.27     0.03 7 
5648484  2.  nnnnn  7479.3   126.5  4     4.13     0.53 2    -0.44     0.09 1 
5677354  5.  NnnGn  4386.3    10.7  3     4.22     0.17 2    -1.46     0.10 1 
5873558  8.  nnnnn  5947.1    67.8  5     3.43     0.25 2    -0.95     0.07 1 
5933222  4.  nnBgn  5280.7    71.3  5     3.58     0.33 5    -1.07     0.01 4 
5958635  2.5 NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4160644  3.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4176793  5.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4295340  7.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4318026  5.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4350904  3.  nnnnn  5907.4    71.2  9     4.23     0.19 6    -0.73     0.06 6 
4370911  3.  nnnnn  4483.6    62.5  3     4.12     0.03 2    -0.94     0.08 1 
4437607  5.  NCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4569684  3.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4633054  3.  nnngn  5681.4   146.4  8     3.87     0.32 6    -1.00     0.09 6 
4665114  4.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4691099  7.  nnnnn  5799.6   100.0  4     3.94     0.11 2    -0.92     0.09 1 
4750698  5.  nnnnn  5510.8   133.7  3     2.33     0.82 2    -0.68     0.07 4 
5099362  4.  nnngn  4944.3    84.9  4     4.35     0.01 4    -1.04     0.06 3 
5160577  7.  nnnnn  5701.1   102.2  4     3.59     0.76 2    -0.63     0.07 1 
5198342  1.  Nnnnn  4686.0   112.6  3     3.65     0.87 2    -1.10     0.11 1 
5230402  6.  nnnnn  5733.9   234.8  4     4.11     0.20 2    -0.40     0.07 1 
5247423  9.  nnnnn  5632.4   170.3  4     3.92     0.44 2    -0.98     0.03 1 
5272186  5.  nnnGn  4120.4     4.5  2     4.77     0.14 1    -1.31     0.09 1 
5384051  5.  nnnnn  5850.4    63.2  8     4.16     0.13 6    -0.31     0.07 6 
5560403  4.  nnnnn  5680.6   105.0  7     4.21     0.20 6    -0.11     0.08 6 
5561078  6.  nnnnn  5928.9    73.8  7     3.79     0.58 4    -0.57     0.06 4 
5594575  3.  nnBnn  5217.2    28.3  7     3.58     0.27 6    -0.88     0.03 6 
5686673 10.  Nnnnn  5121.2   136.6  3     4.08     0.47 2    -0.70     0.11 1 
5922869  1.  nnnnn  5623.4    75.8  7     3.92     0.13 6    -0.16     0.05 2 
5949443  3.  nnnnn  6419.7    37.9 10     3.85     0.18 7    -1.03     0.05 7 
6093532 10.  nnnnn  6052.8   110.1  4     4.10     0.36 2    -0.34     0.09 1 
4166144  2.  nnnnn  7483.2   183.6  4     3.38     0.18 3    -1.67     0.09 1 
4402191  7.  nnnnn  6093.7   131.9  5     2.90     0.36 2    -1.47     0.09 1 
4402472  5.  nnnnn  6028.1   102.0  9     4.14     0.19 6    -0.59     0.08 5 
4417365  5.  nnnnn  5785.0   119.5  4     3.91     0.20 2    -0.90     0.08 1 
4440857  5.  nnnnn  5951.4    75.4  9     4.08     0.19 6    -0.60     0.01 5 
4766014  1.  nnnnn  4915.1   175.9  4     4.28     0.21 4    -0.37     0.04 2 
4788691  5.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4800092  2.  nnnnn  5134.5    94.3  4     3.91     0.10 3    -0.13     0.04 3 
5081590  5.  nnnnn  5689.6    49.8  6     4.27     0.20 4    -0.28     0.08 4 
5151133  8.  nnnnn  5220.4   323.2  5     2.90     0.85 4    -0.77     0.10 3 
5273135  9.  Nnnnn  4691.8   105.3  3     3.82     0.45 2    -0.05     0.11 1 
5287841  5.  nnngn  4088.8    18.0  1     4.22     0.10 1    -1.21     0.09 1 
5892706  6.  nnnnn  5990.9    46.3  9     3.84     0.15 6    -0.66     0.03 6 
4325501  5.  nnnnn  5312.9   111.4  5     3.91     0.31 4    -0.91     0.19 3 
4727757  1.  nnnnT  5552.6   314.1  4     3.31     0.96 4     0.18     0.11 1 
4786779  1.  nnnnn  5274.7   143.2  5     3.81     0.22 5    -0.69     0.07 5 
5313185  3.  nnngn  4328.3    50.2  4     4.42     0.19 4    -1.32     0.11 3 
5418496  7.  nnnnn  5589.5    82.4  6     4.22     0.23 4    -0.59     0.10 4 
5675849  9.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5802656  6.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5987468 10.  nnnnn  5758.6    85.0  4     4.34     0.31 2    -0.53     0.12 1 
4359968  5.  nnnnn  5647.2    96.1  8     4.35     0.20 6    -0.60     0.09 5 
5191160  9.  lnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5330327 10.  nnnnn  5116.7    87.9  3     4.44     0.05 2    -0.62     0.09 1 
5379089  6.  nnngn  4119.8    62.1  3     4.44     0.10 2    -1.38     0.11 1 
5846832 10.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4231996  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4807480  7.  nnnnn  5672.5   182.6  4     3.79     0.72 2    -0.18     0.09 1 
5188393  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5239063  8.  nnBnn  5574.1    92.8  5     3.85     0.22 4    -0.77     0.05 3 
5344461  1.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5405593  3.  nnnnn  5632.7    63.5  7     4.28     0.13 6    -0.49     0.02 6 
5450894  2.5 nnnnn  4790.9   173.7  4     4.10     0.26 4    -0.34     0.01 2 
5590150  8.  nnBnn  4935.4   141.5  3     3.69     0.35 2    -0.92     0.10 1 
5674280  9.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5714783 10.  nnBnn  5194.1   162.4  3     4.31     0.29 2    -0.52     0.10 1 
4152720  1.  nCnnT  7780.1   408.5  5     3.56     0.29 4    -2.05     0.13 2 
4165727  6.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4213174  2.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4252491  8.  nnBnn  4834.2   101.2  3     4.22     0.12 2    -0.72     0.11 1 
4310921  9.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4316990  5.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4499038  3.  nnnnn  5306.6   132.8  5     4.11     0.33 5    -0.66     0.10 4 
4624828  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4627672  3.  nnnnn  4636.6    72.2  4     4.41     0.19 4    -0.82     0.01 2 
4754305  3.  nnBnn  5169.4   195.3  5     3.54     0.32 5    -0.95     0.16 3 
5075064  2.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5132934 10.  nnnnn  5245.4    40.0  3     4.41     0.14 2    -0.45     0.09 1 
5158679  2.5 nCngn  4804.2   147.3  2     3.48     0.09 2    -1.10     0.12 1 
5172653 10.  nnnnn  5165.4   143.0  3     4.00     0.23 2    -0.18     0.04 1 
5227382  5.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5257408  4.  nnnnn  4384.8    49.6  4     4.29     0.21 4    -0.79     0.11 2 
5331042  9.  nnnGn  6598.8    74.2  6     4.17     0.45 3    -1.20     0.00 2 
5470994  5.  nnnnn  5920.7   131.7  5     3.95     0.33 2    -0.61     0.09 1 
5500523  5.  nnnnn  5832.7    17.1  6     4.08     0.15 4    -0.42     0.07 3 
5530621  3.  nnnnn  4686.7    81.5  4     4.52     0.15 4    -0.64     0.00 2 
5935530 10.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5972418  2.  nnnnn  7545.8   124.7  6     4.29     0.20 4    -1.00     0.07 3 
6069188  5.  nnBnn  5698.3    65.2  8     4.24     0.22 6    -0.70     0.09 7 
4204879  3.  nnBnn  4902.6   101.2  3     3.81     0.64 3    -0.91     0.22 2 
4208862  7.  Nnnnn  4470.0   105.1  3     4.39     0.19 2    -1.09     0.11 1 
4242377  9.  nnnnn  5884.8     9.3  4     3.94     0.15 2    -0.80     0.08 1 
4353763  6.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4408168  5.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4482506  1.  nnBnn  6198.3    96.7 10     3.48     0.25 7    -2.13     0.05 5 
4533159  5.  Nnnnn  4228.1   122.8  3     4.28     0.18 2    -1.21     0.09 1 
4675831  5.  nnngn  5610.9   185.7  4     4.16     0.62 2    -1.21     0.05 1 
4783670  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4786366  9.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4852347  5.  nnnnn  5349.2    51.4  5     4.13     0.40 4    -0.54     0.05 5 
4869177  2.  nnnnn  7260.9    76.0  7     3.29     0.16 5    -1.17     0.10 3 
5101148  2.  lnnnn  4227.5    86.3  3     3.93     0.58 2    -0.59     0.07 1 
5206727  4.  nnnnn  5455.0   131.0  5     4.10     0.17 5     0.17     0.08 4 
5226538  5.  nnnnn  5235.0   117.2  5     3.76     0.24 4    -0.16     0.10 5 
5357611 10.  nnBnn  5023.4    30.9  4     4.01     0.28 3    -1.73     0.08 3 
5377648  3.  nnnnn  5770.1    78.9  9     4.04     0.23 6    -0.40     0.03 6 
5498983  5.  nnnnn  5850.4    71.3  8     3.96     0.13 6    -0.14     0.10 6 
5566920  9.  NCnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5761347  4.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5993235  6.  nnnnn  5483.4   181.1  5     3.09     0.72 5    -0.47     0.04 2 
6015012  2.5 lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4162497  5.  Nnnnn  6102.8    77.9  5     4.11     0.50 2    -0.59     0.06 1 
4450450  5.  nnngn  5813.1    57.9  9     4.26     0.20 6    -1.24     0.04 6 
4570571  5.  nnnnn  5043.1    81.6  5     4.33     0.09 5    -0.65     0.03 3 
4601829  5.  nnnnn  4965.7   119.5  4     4.24     0.29 4    -0.49     0.04 2 
4672521  2.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4682185  6.  Nnnnn  4457.8    28.9  3     4.22     0.12 2    -0.84     0.10 1 
4711829  2.  nnnnn  7758.6    48.4  5     3.40     0.08 4    -1.35     0.03 2 
4800805  1.  nnnnn  5326.6   108.4  5     3.17     0.25 4    -1.03     0.06 4 
5035933  2.  nnnGn  6835.5   120.0  8     3.49     0.37 5    -1.25     0.08 1 
5041842  5.  Nnnnn  4616.5   121.5  3     4.35     0.21 3    -0.69     0.16 2 
5173236  5.  nnnnT  5644.4   167.5  6     4.02     0.04 4    -0.66     0.09 4 
5204845  9.  nnBnn  5691.4    92.8  3     3.41     0.36 2    -0.98     0.10 1 
5248825  5.  nnngn  5361.0   142.8  8     4.30     0.21 6    -1.01     0.06 5 
5354099  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5375429  6.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5423689  5.  nnnnn  4574.6    87.4  4     4.20     0.04 3    -0.48     0.00 2 
5468235  6.  nnnnn  4577.2    80.3  4     4.40     0.20 4    -0.58     0.14 2 
5473513  3.  nnnnn  4838.9    61.4  4     4.48     0.15 4    -0.70     0.12 3 
5531243  6.  nnnnn  5572.9   150.0  5     3.98     0.37 4    -0.13     0.07 3 
5800395  5.  nnnnn  5807.6    54.9  6     3.76     0.30 4    -0.50     0.03 3 
5801177  6.  nnnnn  5089.4   143.6  3     4.54     0.10 3    -0.28     0.09 1 
5848127  7.  nnnnn  5892.3    75.9  7     3.75     0.33 4    -0.65     0.01 3 
4393937  5.  Nnnnn  4429.0     5.7  3     3.76     0.25 2    -0.00     0.06 1 
4425206  2.  nnnnn  5031.9   105.8  4     3.08     0.03 4    -0.76     0.00 2 
4540172  9.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4584307  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4674898  1.  nnnnn  5705.1    70.2  8     4.19     0.13 6    -0.09     0.02 5 
4709564  5.  nnngn  5410.8    61.6  5     3.06     0.04 4    -1.94     0.10 4 
4733975  1.  nnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4791760  1.  nnnnn  4621.8    82.4  4     4.43     0.20 4    -0.99     0.03 2 
5118317  9.  nnnnn  5054.7    67.9  3     4.12     0.11 2    -0.28     0.08 1 
5151813  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5152431  1.  nnnnn  5914.9    65.4  8     4.21     0.18 6    -0.28     0.01 5 
5170849  9.  nnBgn  5281.1    59.1  3     3.41     0.04 2    -1.10     0.09 1 
5180373  2.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5202812  2.5 nnnnn  6369.0   105.4  8     3.00     0.40 5    -1.25     0.04 5 
5291667  5.  Nnnnn  4292.3   176.1  2     4.07     0.13 1    -0.59     0.11 1 
5343472 10.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5519133  7.  nnnGn  5242.3    95.4  3     4.17     0.16 2    -1.05     0.08 1 
5675606  8.  nnnnn  5437.9   102.5  3     3.87     0.38 2    -0.46     0.08 1 
5768843  6.  nnnnn  5168.9   168.8  4     3.90     0.25 4    -0.69     0.11 1 
5821770  4.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5905048  4.  nnnGn  5940.8   107.9  9     3.95     0.24 6    -1.08     0.05 6 
5929514  6.  nnngn  4665.9    68.3  3     4.46     0.27 3    -1.09     0.07 1 
4399956  5.  NCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4623264  5.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4625355  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4693887  3.  lnnnn  4232.8    77.0  3     4.10     0.55 2    -0.42     0.06 1 
4849237  3.  nnnnn  5443.9    63.8  7     4.05     0.18 6    -0.64     0.04 5 
5097806  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5197434  7.  nnnGn  6098.8   129.0  5     3.57     0.06 2    -1.04     0.02 1 
5241553  8.  nnBnn  5524.4   122.6  6     4.30     0.22 4    -0.62     0.05 4 
5249819  5.  nnnnn  5793.4    93.4  8     4.36     0.16 6    -0.72     0.05 7 
5291611  6.  nnnnn  4202.0   198.4  2     3.47     0.11 1    -0.69     0.09 1 
5313481  7.  nnnnn  5376.8   137.9  6     4.43     0.22 4    -0.78     0.16 4 
5339113  3.  nnnnn  5377.1    90.4  7     3.76     0.21 6    -0.81     0.03 5 
5415015  1.  nnnnn  6269.2    84.9  9     4.04     0.12 6    -0.43     0.02 4 
5437119  1.  NCnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5637470  4.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5686136  6.  nnnnn  5553.0   163.5  6     4.22     0.30 4    -0.95     0.10 4 
5978929 10.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4240029  2.5 nnnnn  5282.2   122.7  4     4.35     0.09 4    -0.61     0.10 2 
4373884  5.  nnngn  5697.9    84.3  8     3.54     0.16 6    -1.86     0.03 5 
4573945  2.  nnngn  4798.4    86.2  3     3.94     0.07 2    -1.38     0.06 1 
4633577  5.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4634542  3.  nnnnn  4734.6   170.9  4     3.85     0.01 4    -0.37     0.07 2 
4792688  2.  nnnnn  4802.8   158.2  3     4.42     0.06 2    -1.20     0.08 1 
5104783  5.  nnnnn  5773.6    69.8  8     3.88     0.19 6    -0.53     0.04 6 
5129533  5.  nnngn  4848.4   120.0  4     2.43     0.69 4    -1.14     0.07 2 
5199563  7.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5219275  8.  nnBnn  5422.2   115.4  6     3.90     0.25 4    -0.71     0.01 4 
5232141  2.5 nnnnn  5750.2    99.2  8     4.14     0.22 6    -0.71     0.02 4 
5251812  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5301927  2.  nnnnn  5303.5    95.7  5     3.63     0.27 5    -0.89     0.04 5 
5338337  2.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5458065  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5528862 10.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5752724  9.  Nnnnn  4364.3    43.6  3     3.85     0.08 2    -0.23     0.09 1 
5790789  6.  nnnnn  5546.1   104.1  8     3.76     0.35 6    -0.68     0.04 6 
5863912 10.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5942399  6.  nnnnn  4573.7    19.7  3     4.41     0.06 2    -0.46     0.10 1 
6080031  2.  nnnnn  6681.5    54.0 10     4.04     0.19 7    -0.24     0.05 5 
4193894  2.  nCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4239088  5.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4363623  2.  nnnnn  5291.1    96.4  5     4.39     0.16 5    -0.16     0.03 3 
4445539  2.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4466327  5.  lnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4653043  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4792782  7.  nnnnn  5499.9    70.5  3     3.61     0.08 2    -0.29     0.10 1 
4808519  5.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5020075  5.  nnBnn  5229.1    65.2  3     4.29     0.13 2    -0.96     0.07 1 
5083154  9.  nnnnn  5727.0    93.4  6     4.24     0.19 4    -0.53     0.07 4 
5168319  2.  nnngn  4340.6   110.6  4     3.78     0.39 4    -1.26     0.10 1 
5192922  2.  nnnnn  6506.8   116.7  5     4.19     0.59 2     0.14     0.07 1 
5241612  7.  nnnnn  5783.9   146.1  3     3.84     0.32 2    -0.52     0.05 1 
5414511  3.  nnnnn  4772.2    93.7  4     4.43     0.16 4    -0.71     0.02 2 
5426648  5.  nnBnn  5377.1   107.3  6     3.07     0.07 4    -0.90     0.06 4 
5545454  9.  nnBnn  6241.1   149.7  6     3.47     0.59 3    -0.98     0.08 1 
5675591  2.  NCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5702628  8.  nnnnn  5479.1   100.1  5     4.08     0.45 4    -0.21     0.07 4 
5973462  4.  nnnnn  5251.0    73.0  7     3.48     0.16 6    -0.98     0.04 7 
4178308  5.  nCngn  4236.4   101.8  2     4.44     0.30 3    -1.41     0.16 2 
4215869  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4227658  7.  nnnnn  5877.2    70.2  6     3.83     0.29 4    -0.92     0.07 4 
4487742  7.  nnBnn  5601.6    74.1  3     4.42     0.30 2    -0.64     0.10 1 
4510850  6.  nnnnn  4329.3   115.8  3     4.00     0.07 2    -0.72     0.10 1 
